Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,neutral,1.95142245292664,1
2,spaced,incongruent,1.06807899475098,1
3,spaced,congruent,1.0664701461792,1
4,unspaced,neutral,1.02261924743652,1
5,unspaced,congruent,1.08963322639465,1
6,unspaced,congruent,1.65494990348816,1
7,spaced,incongruent,1.56945466995239,1
8,spaced,neutral,1.10467553138733,1
9,unspaced,incongruent,1.27094745635986,1
10,unspaced,incongruent,1.12161326408386,1
11,spaced,congruent,1.23573470115662,1
12,spaced,neutral,0.896675586700439,1
13,spaced,neutral,1.09111356735229,1
14,unspaced,neutral,0.983769655227661,1
15,spaced,neutral,0.907787084579468,1
16,unspaced,neutral,0.645430564880371,1
17,unspaced,incongruent,1.11146759986877,1
18,spaced,congruent,2.23812580108643,1
19,unspaced,congruent,2.18072438240051,1
20,spaced,incongruent,1.98046255111694,1
21,unspaced,incongruent,1.73751854896545,1
22,spaced,incongruent,2.29158091545105,1
23,unspaced,congruent,1.89978337287903,1
24,spaced,congruent,1.68577361106873,1
25,spaced,neutral,1.47340106964111,1
26,unspaced,neutral,1.26542162895203,1
27,unspaced,neutral,4.45857858657837,1
28,spaced,incongruent,1.69251275062561,1
29,unspaced,incongruent,1.33913373947144,1
30,unspaced,incongruent,1.79412508010864,1
31,unspaced,congruent,2.32873106002808,1
32,spaced,neutral,1.86113786697388,1
33,spaced,incongruent,2.81111216545105,1
34,unspaced,congruent,1.79941010475159,1
35,spaced,congruent,3.60797119140625,1
36,spaced,congruent,3.04168677330017,1
37,unspaced,neutral,1.55799436569214,1
38,spaced,neutral,1.42159914970398,1
39,unspaced,neutral,1.74024724960327,1
40,unspaced,congruent,0.997427940368652,1
41,spaced,incongruent,1.28458714485168,1
42,spaced,congruent,1.15324068069458,1
43,unspaced,incongruent,2.11353158950806,1
44,unspaced,incongruent,1.41733932495117,1
45,spaced,neutral,2.65394878387451,1
46,unspaced,congruent,1.46120953559875,1
47,spaced,congruent,1.25506138801575,1
48,spaced,incongruent,2.43602108955383,1
49,spaced,neutral,1.56541752815247,0
50,unspaced,incongruent,5.00913739204407,1
51,spaced,incongruent,1.65031814575195,1
52,unspaced,congruent,1.43705463409424,1
53,spaced,congruent,3.13271164894104,1
54,spaced,neutral,2.33305549621582,1
55,spaced,incongruent,2.68212032318115,1
56,unspaced,neutral,2.07221102714539,1
57,unspaced,congruent,2.09589910507202,1
58,unspaced,neutral,1.61061263084412,1
59,spaced,congruent,1.86892247200012,1
60,unspaced,incongruent,4.48963522911072,1
1,spaced,incongruent,1.45561265945435,1
2,spaced,incongruent,1.28649568557739,1
3,unspaced,incongruent,1.87675786018372,1
4,spaced,congruent,1.68209981918335,1
5,unspaced,neutral,1.41211700439453,1
6,unspaced,incongruent,2.18787598609924,1
7,unspaced,congruent,3.3867404460907,1
8,spaced,neutral,2.06556344032288,1
9,unspaced,neutral,1.20484089851379,1
10,spaced,neutral,1.48137784004211,1
11,unspaced,congruent,1.83078098297119,1
12,spaced,congruent,1.57275891304016,0
13,unspaced,neutral,4.20355677604675,1
14,unspaced,incongruent,1.96422648429871,1
15,unspaced,congruent,1.28959178924561,1
16,unspaced,incongruent,1.84653401374817,1
17,spaced,congruent,1.48061299324036,1
18,unspaced,congruent,1.61413288116455,1
19,unspaced,neutral,1.201744556427,1
20,spaced,incongruent,2.01960921287537,1
21,spaced,congruent,1.38568449020386,1
22,spaced,neutral,0.926235437393188,1
23,spaced,incongruent,0.982714891433716,1
24,spaced,neutral,1.20614194869995,1
25,spaced,neutral,1.07122373580933,1
26,spaced,incongruent,1.26383543014526,1
27,unspaced,congruent,1.27043890953064,1
28,unspaced,neutral,2.79623103141785,1
29,unspaced,congruent,1.8758704662323,1
30,unspaced,incongruent,3.0030505657196,1
31,spaced,neutral,4.7806224822998,1
32,spaced,incongruent,3.10533261299133,1
33,spaced,congruent,2.90279698371887,1
34,unspaced,neutral,2.43910479545593,1
35,spaced,congruent,2.46690988540649,1
36,unspaced,incongruent,1.77367782592773,0
37,spaced,congruent,5.18435382843018,1
38,unspaced,incongruent,1.36700654029846,1
39,unspaced,incongruent,2.16830801963806,1
40,spaced,congruent,1.26921606063843,1
41,unspaced,congruent,1.68090391159058,1
42,unspaced,congruent,1.09041571617126,1
43,spaced,incongruent,1.31118655204773,1
44,unspaced,neutral,2.43247175216675,1
45,spaced,incongruent,2.51145386695862,1
46,spaced,neutral,1.30399918556213,1
47,unspaced,neutral,1.11416935920715,1
48,spaced,neutral,1.08877873420715,1
49,unspaced,congruent,1.07300305366516,1
50,spaced,neutral,1.61256051063538,1
51,unspaced,neutral,3.86636900901794,1
52,unspaced,neutral,1.4804904460907,1
53,unspaced,incongruent,1.32557988166809,1
54,spaced,congruent,2.06583452224731,1
55,spaced,neutral,1.26359415054321,1
56,unspaced,incongruent,2.03040385246277,1
57,unspaced,congruent,1.18478393554688,1
58,spaced,incongruent,1.86553645133972,1
59,spaced,incongruent,1.06424808502197,1
60,spaced,congruent,1.44000673294067,1
1,unspaced,neutral,1.5573742389679,1
2,spaced,congruent,0.921515941619873,1
3,unspaced,incongruent,1.21132326126099,1
4,spaced,incongruent,0.703927993774414,1
5,unspaced,congruent,0.93495512008667,1
6,unspaced,neutral,0.829469919204712,1
7,spaced,neutral,1.28375291824341,1
8,spaced,congruent,0.937216758728027,1
9,spaced,neutral,1.36174869537354,1
10,unspaced,congruent,3.57881903648376,0
11,spaced,incongruent,3.31193375587463,1
12,unspaced,incongruent,4.75934290885925,1
13,spaced,congruent,1.25678682327271,1
14,spaced,congruent,2.51557803153992,1
15,spaced,neutral,1.67203211784363,1
16,unspaced,neutral,1.37137341499329,1
17,unspaced,congruent,1.38770937919617,1
18,spaced,incongruent,3.41842722892761,1
19,spaced,incongruent,5.87470889091492,1
20,spaced,neutral,3.20579409599304,1
21,unspaced,neutral,1.48380875587463,1
22,unspaced,incongruent,5.68389916419983,1
23,unspaced,congruent,2.45788383483887,1
24,unspaced,incongruent,1.24294304847717,0
25,spaced,incongruent,5.98633217811584,1
26,unspaced,congruent,1.11119246482849,1
27,unspaced,neutral,1.93661332130432,1
28,spaced,neutral,1.77075552940369,1
29,spaced,neutral,1.3132107257843,0
30,spaced,congruent,1.65720725059509,1
31,unspaced,neutral,1.34170436859131,1
32,unspaced,congruent,1.22281932830811,1
33,spaced,congruent,2.03054690361023,1
34,unspaced,incongruent,1.58172059059143,1
35,spaced,incongruent,3.47702765464783,1
36,unspaced,incongruent,2.99774241447449,1
37,unspaced,incongruent,1.81119775772095,1
38,unspaced,neutral,1.10700511932373,1
39,spaced,incongruent,1.75842499732971,1
40,spaced,congruent,1.27894997596741,1
41,unspaced,neutral,1.13901686668396,1
42,unspaced,congruent,0.964308261871338,1
43,spaced,congruent,2.46570253372192,1
44,spaced,incongruent,1.71232748031616,1
45,unspaced,incongruent,1.54428243637085,1
46,unspaced,congruent,0.810488939285278,1
47,spaced,neutral,0.944047927856445,1
48,spaced,neutral,1.87510704994202,1
49,spaced,congruent,2.41893744468689,1
50,unspaced,neutral,1.54056692123413,1
51,unspaced,neutral,1.5827968120575,1
52,spaced,neutral,2.22994375228882,1
53,unspaced,congruent,1.56666946411133,1
54,unspaced,incongruent,6.64128947257996,1
55,unspaced,incongruent,4.00560450553894,1
56,unspaced,congruent,1.37111830711365,1
57,spaced,incongruent,1.05210971832275,1
58,spaced,neutral,1.97785878181458,1
59,spaced,incongruent,9.63796067237854,1
60,spaced,congruent,2.47386384010315,1
1,unspaced,incongruent,4.14983916282654,0
2,unspaced,congruent,4.46771812438965,1
3,spaced,neutral,3.23072338104248,1
4,unspaced,incongruent,1.73796415328979,1
5,spaced,incongruent,2.07622742652893,1
6,unspaced,congruent,2.48876214027405,1
7,spaced,neutral,2.65185904502869,1
8,unspaced,neutral,1.23007750511169,1
9,spaced,congruent,5.52285933494568,1
10,spaced,incongruent,1.55226349830627,1
11,spaced,congruent,0.974396705627441,1
12,unspaced,neutral,1.02867984771729,1
13,spaced,neutral,1.79772877693176,1
14,spaced,incongruent,1.41697144508362,1
15,spaced,incongruent,1.05638837814331,1
16,unspaced,incongruent,1.61244249343872,1
17,spaced,congruent,2.50051331520081,1
18,unspaced,congruent,18.4689455032349,1
19,spaced,congruent,1.22454023361206,1
20,unspaced,incongruent,1.65564179420471,1
21,unspaced,neutral,1.27230525016785,1
22,unspaced,neutral,1.09360027313232,1
23,spaced,neutral,0.967278957366943,1
24,unspaced,congruent,1.24819397926331,1
25,unspaced,congruent,10.0511960983276,1
26,unspaced,neutral,1.09972167015076,1
27,unspaced,congruent,1.00332570075989,1
28,spaced,congruent,0.824678421020508,1
29,spaced,incongruent,0.864856958389282,1
30,spaced,incongruent,1.2103419303894,1
31,spaced,neutral,1.26428842544556,1
32,unspaced,incongruent,1.95538878440857,1
33,spaced,congruent,2.46389055252075,1
34,unspaced,incongruent,2.36749458312988,1
35,unspaced,neutral,1.45819687843323,1
36,spaced,neutral,0.931396007537842,1
37,spaced,neutral,0.613833427429199,1
38,spaced,congruent,1.38228106498718,1
39,unspaced,neutral,0.733851194381714,1
40,spaced,incongruent,2.94867634773254,1
41,unspaced,neutral,1.49738645553589,1
42,spaced,incongruent,1.33924245834351,1
43,unspaced,congruent,0.947797775268555,1
44,spaced,neutral,1.57744383811951,1
45,unspaced,incongruent,2.28352975845337,1
46,unspaced,congruent,2.46286940574646,1
47,spaced,congruent,1.59638094902039,1
48,unspaced,incongruent,7.55149865150452,1
49,spaced,congruent,6.32810187339783,1
50,unspaced,incongruent,2.137859582901,1
51,spaced,neutral,1.72320461273193,1
52,spaced,incongruent,0.909381628036499,1
53,unspaced,incongruent,1.43131160736084,0
54,unspaced,congruent,1.73742890357971,1
55,spaced,neutral,1.25988125801086,1
56,unspaced,congruent,2.6018545627594,1
57,unspaced,neutral,1.14315342903137,1
58,unspaced,neutral,1.78553867340088,1
59,spaced,incongruent,4.48092341423035,1
60,spaced,congruent,1.32322263717651,1
