Trial,Spacing,Congruent,RT,Accuracy
1,spaced,incongruent,7.53740429878235,1
2,spaced,neutral,0.750969648361206,1
3,unspaced,congruent,0.926256656646729,1
4,unspaced,incongruent,0.54640793800354,1
5,spaced,incongruent,0.677888631820679,1
6,unspaced,neutral,0.521018743515015,1
7,unspaced,neutral,0.684617042541504,1
8,spaced,congruent,0.518537521362305,1
9,unspaced,congruent,0.533840894699097,1
10,spaced,neutral,0.39137601852417,0
11,unspaced,incongruent,0.740993738174438,1
12,spaced,congruent,0.401297330856323,1
13,unspaced,congruent,0.719007253646851,1
14,unspaced,incongruent,0.579662322998047,1
15,spaced,neutral,0.494384527206421,1
16,spaced,incongruent,0.717496156692505,1
17,unspaced,neutral,0.723381280899048,1
18,unspaced,neutral,0.784282684326172,1
19,unspaced,congruent,0.679887533187866,1
20,spaced,incongruent,0.682734966278076,1
21,unspaced,incongruent,0.683209180831909,1
22,spaced,congruent,0.506715297698975,1
23,spaced,neutral,0.442188739776611,1
24,spaced,congruent,0.535490989685059,1
25,spaced,congruent,0.706182956695557,1
26,spaced,incongruent,0.739440679550171,1
27,unspaced,congruent,0.639713287353516,1
28,unspaced,incongruent,0.889283895492554,1
29,spaced,neutral,0.639539003372192,1
30,unspaced,neutral,0.279996633529663,0
31,unspaced,incongruent,0.67992901802063,1
32,unspaced,congruent,0.618406295776367,1
33,spaced,incongruent,0.439016103744507,1
34,unspaced,neutral,0.486746549606323,0
35,spaced,neutral,0.574654579162598,1
36,spaced,congruent,0.830496072769165,1
37,spaced,neutral,0.754639148712158,0
38,spaced,congruent,1.09518766403198,1
39,spaced,congruent,0.625663757324219,1
40,unspaced,incongruent,0.635862588882446,1
41,unspaced,congruent,0.459940195083618,1
42,spaced,incongruent,0.633873701095581,1
43,unspaced,neutral,0.549883604049683,1
44,spaced,neutral,0.520352363586426,1
45,unspaced,neutral,0.609646797180176,1
46,spaced,incongruent,0.590671300888062,1
47,unspaced,incongruent,0.782512187957764,1
48,unspaced,congruent,0.469227075576782,1
49,unspaced,congruent,0.528565168380737,1
50,spaced,incongruent,0.441612243652344,1
51,unspaced,neutral,0.72532844543457,1
52,spaced,congruent,0.539559125900269,1
53,unspaced,incongruent,0.601995706558228,1
54,spaced,neutral,1.93010067939758,0
55,spaced,congruent,0.548849105834961,1
56,spaced,neutral,1.45774149894714,1
57,unspaced,congruent,0.75437068939209,1
58,unspaced,incongruent,0.616251230239868,1
59,unspaced,neutral,0.633529663085938,0
60,spaced,incongruent,1.31828260421753,1
1,spaced,incongruent,2.85255765914917,1
2,unspaced,incongruent,0.602206707000732,1
3,unspaced,neutral,0.67097806930542,1
4,unspaced,incongruent,0.732076168060303,1
5,unspaced,neutral,0.620801210403442,1
6,spaced,neutral,0.767559289932251,1
7,unspaced,congruent,0.787917613983154,1
8,unspaced,congruent,1.05314898490906,1
9,spaced,congruent,0.798407316207886,1
10,spaced,neutral,0.900703907012939,1
11,spaced,incongruent,0.618766069412231,1
12,spaced,congruent,1.09820008277893,1
13,spaced,neutral,0.595758438110352,1
14,spaced,incongruent,1.47340774536133,1
15,spaced,congruent,0.544934511184692,1
16,unspaced,congruent,0.36690354347229,1
17,unspaced,neutral,0.705632209777832,1
18,spaced,incongruent,1.26071119308472,1
19,unspaced,neutral,0.589999437332153,1
20,spaced,congruent,0.540031671524048,1
21,spaced,neutral,0.716549634933472,1
22,unspaced,incongruent,0.792498111724854,1
23,unspaced,incongruent,0.91210675239563,1
24,unspaced,congruent,0.745238304138184,1
25,unspaced,incongruent,0.64364767074585,1
26,spaced,incongruent,1.04710030555725,1
27,spaced,congruent,0.823292016983032,1
28,spaced,neutral,0.740264892578125,1
29,unspaced,congruent,0.628907680511475,1
30,unspaced,neutral,1.49817657470703,1
31,unspaced,incongruent,1.50342559814453,1
32,unspaced,neutral,0.720553159713745,1
33,spaced,congruent,0.62029767036438,1
34,spaced,neutral,1.3317666053772,1
35,unspaced,congruent,2.39388275146484,1
36,spaced,incongruent,6.45510387420654,1
37,spaced,incongruent,1.00327157974243,1
38,unspaced,congruent,1.36375212669373,1
39,spaced,neutral,0.787850618362427,1
40,unspaced,neutral,0.723902463912964,1
41,spaced,neutral,0.516380071640015,1
42,unspaced,incongruent,1.0727174282074,1
43,spaced,congruent,0.907628059387207,1
44,spaced,congruent,0.93166708946228,1
45,unspaced,neutral,0.56971263885498,1
46,spaced,incongruent,0.841800212860107,1
47,unspaced,congruent,0.783988237380981,1
48,unspaced,incongruent,1.22902202606201,1
49,spaced,congruent,0.607100486755371,1
50,spaced,incongruent,0.600576162338257,1
51,spaced,congruent,0.589730978012085,1
52,spaced,incongruent,1.4156334400177,1
53,spaced,neutral,2.4454550743103,1
54,unspaced,incongruent,4.91108107566833,1
