Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,neutral,2.98486852645874,1
2,spaced,incongruent,1.77093362808228,1
3,unspaced,congruent,1.04952692985535,1
4,unspaced,incongruent,1.54266548156738,1
5,unspaced,neutral,0.742945432662964,1
6,spaced,congruent,0.753189086914062,1
7,spaced,incongruent,2.43500351905823,1
8,spaced,neutral,1.70007872581482,1
9,unspaced,congruent,1.33503484725952,1
10,spaced,neutral,1.04063129425049,1
11,unspaced,incongruent,3.69394016265869,1
12,spaced,congruent,1.52222919464111,1
13,spaced,congruent,1.31297492980957,1
14,unspaced,neutral,2.21300625801086,1
15,spaced,neutral,1.44244432449341,1
16,unspaced,congruent,1.39313650131226,1
17,unspaced,neutral,1.43657803535461,1
18,spaced,incongruent,1.83557677268982,1
19,unspaced,congruent,1.86556196212769,1
20,unspaced,incongruent,1.97206687927246,1
21,spaced,congruent,1.27638220787048,1
22,spaced,incongruent,1.20510220527649,1
23,unspaced,incongruent,1.2457857131958,1
24,spaced,neutral,2.03798127174377,1
25,spaced,incongruent,1.82415914535522,1
26,unspaced,neutral,2.79931616783142,1
27,unspaced,incongruent,3.43079781532288,1
28,unspaced,congruent,2.78538513183594,1
29,unspaced,congruent,2.84685707092285,1
30,spaced,neutral,1.02272510528564,1
31,unspaced,neutral,2.01852893829346,1
32,spaced,neutral,1.32157373428345,1
33,unspaced,incongruent,2.06647300720215,1
34,spaced,congruent,1.63262414932251,1
35,spaced,congruent,1.51807689666748,1
36,spaced,incongruent,1.47720003128052,1
37,spaced,congruent,1.77719616889954,1
38,unspaced,congruent,1.20894551277161,1
39,spaced,neutral,1.39035534858704,1
40,spaced,incongruent,1.04659366607666,1
41,unspaced,neutral,1.45021533966064,1
42,spaced,congruent,1.78219842910767,1
43,spaced,neutral,1.8880877494812,1
44,unspaced,congruent,1.21261548995972,1
45,spaced,incongruent,1.9157862663269,1
46,unspaced,incongruent,3.23716306686401,1
47,unspaced,incongruent,1.49724698066711,1
48,unspaced,neutral,1.40488362312317,1
49,spaced,congruent,1.09519004821777,1
50,unspaced,neutral,2.30882835388184,1
51,spaced,neutral,1.67655444145203,1
52,unspaced,incongruent,2.29104351997375,1
53,unspaced,neutral,2.66260433197021,1
54,spaced,incongruent,0.895413160324097,1
55,spaced,congruent,5.12232446670532,1
56,spaced,incongruent,0.862259387969971,1
57,unspaced,incongruent,2.61048054695129,1
58,spaced,neutral,4.06506180763245,1
59,unspaced,congruent,2.378009557724,1
60,unspaced,congruent,1.55315494537354,1
1,unspaced,congruent,4.22499680519104,1
2,unspaced,incongruent,1.23867654800415,1
3,unspaced,congruent,1.51460528373718,1
4,spaced,incongruent,0.86017107963562,1
5,unspaced,neutral,2.03982591629028,1
6,spaced,congruent,1.19657778739929,1
7,spaced,neutral,1.53116536140442,1
8,spaced,neutral,1.26926970481873,1
9,spaced,congruent,1.41757559776306,1
10,unspaced,incongruent,2.97442698478699,1
11,unspaced,neutral,0.99952244758606,1
12,spaced,incongruent,0.791131973266602,1
13,spaced,congruent,0.695787668228149,1
14,spaced,congruent,1.74642014503479,1
15,spaced,neutral,1.42548227310181,1
16,unspaced,incongruent,1.08625531196594,1
17,unspaced,congruent,1.0744092464447,1
18,unspaced,neutral,1.23258376121521,1
19,unspaced,congruent,1.14619898796082,1
20,spaced,incongruent,1.24631881713867,1
21,spaced,incongruent,1.30324053764343,1
22,unspaced,neutral,1.49229574203491,1
23,unspaced,incongruent,1.4623007774353,1
24,spaced,neutral,1.3328754901886,1
25,spaced,incongruent,1.20563006401062,1
26,unspaced,congruent,1.06553220748901,1
27,unspaced,neutral,1.66384887695312,1
28,spaced,neutral,1.26422142982483,1
29,spaced,congruent,1.6534059047699,1
30,spaced,incongruent,1.07533812522888,1
31,unspaced,incongruent,1.08769226074219,1
32,spaced,congruent,0.592102766036987,0
33,unspaced,incongruent,1.43351936340332,1
34,unspaced,neutral,0.735448837280273,1
35,spaced,neutral,0.880106687545776,1
36,unspaced,congruent,0.617791652679443,1
37,spaced,neutral,1.46910762786865,1
38,spaced,incongruent,1.58070373535156,1
39,spaced,congruent,0.534162521362305,1
40,unspaced,congruent,0.588435173034668,1
41,spaced,neutral,2.18423390388489,1
42,spaced,incongruent,0.826920509338379,1
43,unspaced,neutral,1.7293393611908,1
44,unspaced,incongruent,1.57191729545593,1
45,unspaced,incongruent,0.701424121856689,1
46,spaced,congruent,1.60034132003784,1
47,unspaced,congruent,0.62774395942688,0
48,unspaced,neutral,0.674513101577759,1
49,spaced,incongruent,0.862559795379639,1
50,spaced,congruent,2.52949786186218,1
51,unspaced,incongruent,2.51994776725769,1
52,unspaced,neutral,1.03809762001038,1
53,spaced,congruent,0.851123332977295,1
54,spaced,neutral,1.41533088684082,1
55,spaced,incongruent,1.50839281082153,1
56,unspaced,neutral,1.55538940429688,1
57,unspaced,congruent,0.719162225723267,1
58,unspaced,congruent,1.1371328830719,1
59,spaced,neutral,0.855038166046143,1
60,unspaced,incongruent,2.53354167938232,1
1,spaced,incongruent,4.35446906089783,1
2,spaced,congruent,1.2218861579895,1
3,spaced,incongruent,1.75751781463623,1
4,unspaced,incongruent,0.814733028411865,1
5,unspaced,incongruent,2.60281467437744,1
6,spaced,neutral,0.940177917480469,1
7,spaced,neutral,1.04379534721375,1
8,spaced,congruent,1.77796626091003,1
9,unspaced,congruent,1.74807143211365,1
10,unspaced,neutral,0.762022256851196,1
11,unspaced,neutral,0.857362031936646,1
12,unspaced,congruent,0.805404663085938,1
13,spaced,congruent,0.798069715499878,1
14,unspaced,incongruent,1.16982626914978,1
15,spaced,incongruent,0.961971282958984,1
16,unspaced,congruent,0.516981601715088,1
17,spaced,incongruent,1.51323175430298,1
18,unspaced,congruent,1.03544640541077,1
19,unspaced,incongruent,0.932852745056152,1
20,spaced,congruent,0.606611490249634,1
21,spaced,neutral,0.493231296539307,1
22,spaced,neutral,0.302955627441406,1
23,unspaced,neutral,0.364093542098999,0
24,unspaced,neutral,0.363851547241211,0
25,unspaced,neutral,0.644829750061035,1
26,spaced,incongruent,1.05614924430847,1
27,unspaced,neutral,0.974925756454468,1
28,spaced,congruent,0.574097871780396,1
29,unspaced,incongruent,0.960066556930542,1
30,spaced,incongruent,0.779800415039062,1
31,unspaced,congruent,0.876058101654053,1
32,spaced,congruent,0.512557029724121,1
33,unspaced,congruent,0.671391248703003,1
34,unspaced,incongruent,0.954729557037354,1
35,spaced,neutral,1.0499153137207,1
36,spaced,neutral,0.717680931091309,1
37,unspaced,congruent,0.784991025924683,1
38,spaced,congruent,0.895151138305664,1
39,unspaced,incongruent,0.831297159194946,1
40,spaced,congruent,1.88097047805786,1
41,spaced,incongruent,0.405044794082642,0
42,spaced,incongruent,0.752968788146973,0
43,spaced,neutral,0.793957233428955,1
44,unspaced,incongruent,0.974889516830444,1
45,spaced,neutral,0.432218313217163,0
46,unspaced,neutral,0.0971596240997314,1
47,unspaced,neutral,0.791413068771362,1
48,unspaced,congruent,0.742875099182129,1
49,unspaced,neutral,0.64219069480896,1
50,unspaced,congruent,0.565102815628052,0
51,spaced,incongruent,0.3497154712677,0
52,unspaced,incongruent,0.689426183700562,1
53,spaced,congruent,0.605873823165894,1
54,unspaced,incongruent,0.913788080215454,0
55,spaced,congruent,0.898552656173706,1
56,unspaced,congruent,0.654133558273315,1
57,spaced,incongruent,0.708338737487793,1
58,spaced,neutral,0.380960464477539,0
59,unspaced,neutral,0.749199628829956,1
60,spaced,neutral,0.919459819793701,1
1,spaced,incongruent,8.80632066726685,0
2,unspaced,neutral,0.634742498397827,1
3,unspaced,incongruent,1.059494972229,1
4,spaced,incongruent,0.803144693374634,1
5,unspaced,incongruent,1.13333034515381,1
6,unspaced,congruent,0.811043977737427,1
7,unspaced,congruent,0.139240503311157,0
8,spaced,neutral,1.01218342781067,1
9,unspaced,neutral,0.731462717056274,1
10,spaced,congruent,1.11559700965881,1
11,spaced,neutral,0.532736539840698,1
12,spaced,congruent,1.53384590148926,1
13,spaced,neutral,2.19559121131897,1
14,spaced,congruent,0.529503107070923,1
15,unspaced,neutral,0.577897310256958,1
16,spaced,congruent,0.689824104309082,1
17,unspaced,incongruent,0.950997829437256,0
18,unspaced,neutral,0.651969909667969,1
19,spaced,incongruent,0.763001441955566,1
20,unspaced,congruent,0.732434272766113,1
21,unspaced,congruent,0.509456872940063,1
22,spaced,neutral,0.699797868728638,1
23,spaced,incongruent,0.894936800003052,1
24,unspaced,incongruent,0.908702850341797,1
25,spaced,neutral,0.500789880752563,0
26,unspaced,incongruent,0.392350673675537,1
27,spaced,congruent,0.767792463302612,1
28,unspaced,incongruent,0.761722326278687,0
29,spaced,incongruent,0.615010261535645,1
30,unspaced,congruent,1.03685641288757,1
31,spaced,congruent,0.624555826187134,1
32,spaced,incongruent,0.90468955039978,1
33,spaced,neutral,0.665126085281372,1
34,unspaced,neutral,0.549453735351562,1
35,unspaced,congruent,1.00571155548096,1
36,unspaced,neutral,0.86256217956543,0
37,spaced,congruent,0.409600973129272,1
38,spaced,congruent,1.4201443195343,1
39,unspaced,incongruent,1.84660482406616,1
40,spaced,incongruent,0.731757640838623,1
41,unspaced,neutral,1.17498755455017,1
42,unspaced,neutral,1.27971124649048,1
43,unspaced,incongruent,0.785706281661987,1
44,spaced,neutral,0.674277067184448,1
45,spaced,neutral,0.852242708206177,1
46,spaced,incongruent,0.80949878692627,1
47,unspaced,congruent,1.05355381965637,1
48,unspaced,congruent,0.930084705352783,1
49,spaced,incongruent,0.931219100952148,1
50,unspaced,incongruent,0.751862764358521,0
51,unspaced,neutral,0.406911373138428,0
52,unspaced,incongruent,0.804969072341919,1
53,unspaced,neutral,0.854423999786377,1
54,spaced,congruent,0.788021326065063,1
55,spaced,neutral,0.824609279632568,1
56,spaced,congruent,1.22023701667786,1
57,unspaced,congruent,0.734098672866821,1
58,spaced,incongruent,0.955475807189941,1
59,unspaced,congruent,1.03982734680176,1
60,spaced,neutral,0.821860790252686,1
