Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,incongruent,2.50271558761597,1
2,spaced,incongruent,0.566697597503662,0
3,spaced,congruent,0.402426242828369,0
4,unspaced,neutral,0.350333452224731,1
5,unspaced,congruent,0.890779733657837,1
6,unspaced,incongruent,0.859614133834839,0
7,unspaced,congruent,0.698674201965332,0
8,spaced,congruent,0.580634593963623,1
9,unspaced,neutral,1.21159744262695,1
10,spaced,neutral,0.792868137359619,1
11,spaced,neutral,1.11183714866638,1
12,spaced,incongruent,1.89987254142761,0
13,unspaced,neutral,0.503436326980591,1
14,unspaced,incongruent,1.08138370513916,0
15,spaced,neutral,0.876171588897705,1
16,unspaced,congruent,1.16054272651672,1
17,spaced,incongruent,0.894762516021729,1
18,unspaced,neutral,0.598087549209595,0
19,unspaced,incongruent,0.770085096359253,1
20,spaced,congruent,0.785358190536499,1
21,unspaced,congruent,1.22224545478821,1
22,spaced,incongruent,2.81061577796936,1
23,spaced,neutral,1.51282811164856,1
24,spaced,congruent,2.17453742027283,1
25,unspaced,incongruent,1.80512404441833,0
26,unspaced,congruent,0.528845071792603,0
27,spaced,neutral,0.531806230545044,1
28,spaced,congruent,1.04636693000793,1
29,spaced,neutral,1.31734991073608,1
30,unspaced,congruent,1.03695487976074,1
31,unspaced,neutral,0.927887439727783,0
32,unspaced,incongruent,1.45590353012085,0
33,spaced,congruent,1.11011505126953,1
34,spaced,incongruent,1.21168041229248,0
35,spaced,incongruent,1.00048112869263,0
36,unspaced,neutral,1.05353403091431,0
37,spaced,neutral,1.147381067276,1
38,unspaced,incongruent,1.02509760856628,0
39,unspaced,congruent,1.1773316860199,1
40,unspaced,incongruent,2.12600231170654,0
41,unspaced,neutral,1.17828249931335,1
42,spaced,neutral,1.42632794380188,0
43,unspaced,neutral,0.959843635559082,0
44,unspaced,congruent,1.42570233345032,1
45,spaced,incongruent,1.96404051780701,1
46,spaced,congruent,1.02769994735718,1
47,spaced,congruent,0.482261180877686,1
48,spaced,incongruent,0.734744071960449,1
49,unspaced,congruent,0.488332748413086,0
50,unspaced,incongruent,1.22479104995728,0
51,spaced,incongruent,0.458356142044067,0
52,unspaced,incongruent,0.374117136001587,1
53,spaced,incongruent,0.190179109573364,1
54,spaced,neutral,0.0826728343963623,0
55,unspaced,congruent,0.660051584243774,0
56,unspaced,neutral,1.23608160018921,1
57,unspaced,neutral,1.06126761436462,1
58,spaced,neutral,1.27605652809143,1
59,spaced,congruent,0.30553412437439,1
60,spaced,congruent,0.753230571746826,1
1,spaced,neutral,2.45264530181885,1
2,spaced,congruent,0.391034364700317,1
3,unspaced,incongruent,0.369381666183472,0
4,spaced,congruent,1.30705213546753,1
5,unspaced,congruent,1.32103323936462,1
6,unspaced,incongruent,1.85123562812805,0
7,spaced,incongruent,0.403162956237793,0
8,unspaced,congruent,1.2170581817627,1
9,spaced,neutral,0.371477127075195,1
10,spaced,incongruent,0.205012798309326,1
11,unspaced,neutral,1.10066413879395,1
12,unspaced,neutral,0.472656011581421,1
13,spaced,incongruent,0.328548192977905,1
14,unspaced,congruent,0.381493091583252,0
15,unspaced,congruent,0.761502742767334,1
16,unspaced,incongruent,1.25347471237183,0
17,spaced,neutral,0.216814994812012,1
18,unspaced,incongruent,0.351103782653809,1
19,unspaced,neutral,0.429075717926025,1
20,spaced,neutral,0.0208494663238525,1
21,unspaced,neutral,1.04835104942322,1
22,spaced,congruent,1.00576066970825,1
23,spaced,congruent,0.85387659072876,1
24,spaced,incongruent,1.12498116493225,1
25,spaced,congruent,0.374142408370972,0
26,spaced,incongruent,1.7738151550293,1
27,unspaced,incongruent,0.952940702438354,1
28,unspaced,congruent,0.974509477615356,1
29,spaced,neutral,0.930510759353638,1
30,spaced,neutral,1.11063027381897,1
31,unspaced,congruent,1.03737497329712,1
32,spaced,incongruent,1.92301917076111,1
33,unspaced,incongruent,2.83865594863892,1
34,unspaced,neutral,1.73008513450623,1
35,spaced,congruent,0.810988664627075,1
36,unspaced,neutral,0.826926231384277,1
37,unspaced,incongruent,1.78387188911438,0
38,spaced,neutral,1.04719424247742,1
39,spaced,congruent,1.55611515045166,1
40,unspaced,incongruent,1.30848050117493,0
41,spaced,incongruent,1.43045139312744,1
42,spaced,incongruent,0.795369148254395,0
43,unspaced,neutral,0.476090431213379,0
44,spaced,congruent,0.452715158462524,0
45,unspaced,congruent,0.494693756103516,0
46,unspaced,neutral,0.910890817642212,1
47,unspaced,congruent,1.07151627540588,1
48,spaced,neutral,0.899917840957642,1
49,spaced,neutral,1.15246772766113,1
50,unspaced,neutral,0.88258171081543,1
51,unspaced,congruent,0.950875282287598,1
52,spaced,neutral,2.08348369598389,1
53,spaced,congruent,1.06464147567749,1
54,unspaced,congruent,0.828480958938599,1
55,spaced,congruent,1.03945732116699,1
56,unspaced,incongruent,1.34028339385986,0
57,spaced,incongruent,1.32873201370239,1
58,spaced,incongruent,0.913535118103027,1
59,unspaced,neutral,0.777996301651001,1
60,unspaced,incongruent,1.48215484619141,0
1,unspaced,neutral,1.02480101585388,1
2,unspaced,congruent,1.1264181137085,1
3,unspaced,incongruent,1.31041574478149,0
4,spaced,neutral,1.61789464950562,0
5,spaced,incongruent,0.465222597122192,0
6,spaced,neutral,0.701966047286987,1
7,unspaced,congruent,0.782025337219238,1
8,unspaced,incongruent,2.49409556388855,0
9,unspaced,neutral,1.27047729492188,1
10,spaced,congruent,4.85990285873413,1
11,spaced,incongruent,1.55935215950012,0
12,spaced,congruent,0.893844366073608,1
13,spaced,neutral,3.70103192329407,1
14,unspaced,congruent,2.54708123207092,1
15,unspaced,congruent,3.64566659927368,1
16,unspaced,incongruent,2.65993618965149,0
17,spaced,neutral,1.55229830741882,1
18,spaced,congruent,1.83952260017395,1
19,spaced,congruent,3.23875594139099,1
20,unspaced,neutral,1.14755773544312,1
21,unspaced,neutral,1.1624059677124,1
22,unspaced,incongruent,0.977658987045288,0
23,spaced,incongruent,1.16900539398193,1
24,spaced,incongruent,0.743770122528076,1
25,unspaced,incongruent,2.45594358444214,0
26,spaced,neutral,1.51126050949097,0
27,spaced,congruent,1.98546624183655,0
28,spaced,congruent,1.77701878547668,1
29,unspaced,congruent,1.13294005393982,1
30,spaced,neutral,0.374769449234009,0
31,unspaced,neutral,0.415495157241821,0
32,unspaced,congruent,1.57604694366455,1
33,spaced,incongruent,0.357410430908203,1
34,unspaced,incongruent,0.0620253086090088,1
35,spaced,incongruent,1.24006748199463,1
36,unspaced,neutral,0.533241033554077,1
37,spaced,congruent,1.4489803314209,1
38,spaced,neutral,0.918062210083008,1
39,spaced,neutral,0.993405103683472,1
40,unspaced,congruent,0.912484407424927,1
41,spaced,incongruent,4.38694524765015,0
42,unspaced,incongruent,0.470554828643799,0
43,unspaced,incongruent,0.464543342590332,0
44,spaced,incongruent,1.27700591087341,1
45,unspaced,neutral,0.904680252075195,1
46,spaced,congruent,0.581134557723999,1
47,unspaced,neutral,1.0265417098999,1
48,unspaced,congruent,0.902179956436157,1
49,unspaced,congruent,3.276535987854,1
50,spaced,incongruent,1.01522660255432,1
51,spaced,neutral,0.743482351303101,1
52,unspaced,incongruent,1.47784161567688,0
53,spaced,congruent,1.0437548160553,1
54,unspaced,congruent,1.43286180496216,1
55,unspaced,incongruent,1.1447901725769,0
56,unspaced,neutral,1.2302622795105,1
57,spaced,incongruent,2.45010590553284,0
58,spaced,congruent,1.974116563797,1
59,spaced,neutral,2.79956555366516,1
60,unspaced,neutral,2.96454930305481,1
1,spaced,incongruent,3.59886479377747,1
2,unspaced,incongruent,1.03890323638916,1
3,unspaced,congruent,0.362248182296753,1
4,unspaced,congruent,4.56066298484802,1
5,spaced,neutral,0.346691846847534,1
6,spaced,congruent,0.381291389465332,0
7,unspaced,neutral,0.86829400062561,1
8,unspaced,incongruent,2.89492177963257,0
9,spaced,incongruent,0.778655767440796,0
10,spaced,neutral,1.00069904327393,1
11,unspaced,neutral,2.55919933319092,0
12,spaced,congruent,0.99961256980896,0
13,spaced,incongruent,2.30109548568726,0
14,spaced,neutral,1.83095717430115,1
15,unspaced,congruent,2.30869340896606,1
16,unspaced,incongruent,1.52201700210571,0
17,unspaced,incongruent,0.906329870223999,0
18,unspaced,neutral,0.959229946136475,1
19,unspaced,congruent,0.940337896347046,1
20,unspaced,neutral,0.391661167144775,1
21,spaced,neutral,0.883143901824951,1
22,spaced,congruent,1.27103710174561,1
23,spaced,incongruent,0.72331714630127,1
24,spaced,congruent,0.500413417816162,0
25,unspaced,incongruent,1.03504681587219,0
26,unspaced,incongruent,3.32827758789062,0
