Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,congruent,0.989495992660522,1
2,spaced,congruent,0.747549295425415,1
3,spaced,incongruent,1.04477739334106,1
4,unspaced,neutral,0.851690053939819,1
5,unspaced,incongruent,0.694297075271606,1
6,spaced,neutral,0.514607429504395,1
7,unspaced,incongruent,0.779210090637207,1
8,spaced,incongruent,0.754115581512451,1
9,spaced,neutral,0.61145281791687,1
10,unspaced,neutral,0.660735845565796,1
11,spaced,congruent,1.37669730186462,1
12,unspaced,congruent,0.742913007736206,1
13,unspaced,congruent,0.441174030303955,1
14,unspaced,incongruent,0.51602029800415,0
15,unspaced,incongruent,0.790759563446045,1
16,spaced,congruent,0.638484716415405,1
17,unspaced,neutral,0.545921325683594,1
18,spaced,incongruent,0.482675552368164,1
19,spaced,incongruent,0.512554168701172,1
20,spaced,neutral,0.585641860961914,1
21,spaced,congruent,0.539521932601929,1
22,unspaced,neutral,0.56086802482605,1
23,spaced,neutral,2.64525818824768,1
24,unspaced,congruent,1.06165885925293,1
25,spaced,incongruent,1.25438976287842,1
26,spaced,incongruent,0.831959009170532,1
27,unspaced,congruent,0.711418151855469,1
28,spaced,congruent,0.825812339782715,1
29,spaced,congruent,1.46008014678955,1
30,spaced,neutral,0.829514265060425,1
31,unspaced,neutral,0.621466636657715,1
32,spaced,neutral,0.509079694747925,1
33,unspaced,neutral,0.545809268951416,1
34,unspaced,incongruent,0.707631587982178,1
35,unspaced,congruent,0.79579758644104,1
36,unspaced,incongruent,0.659339666366577,1
37,spaced,incongruent,0.574923276901245,1
38,spaced,neutral,0.558358669281006,1
39,spaced,neutral,0.877665519714355,1
40,unspaced,congruent,0.61121678352356,1
41,unspaced,incongruent,0.558815956115723,1
42,unspaced,neutral,0.834967613220215,1
43,unspaced,incongruent,0.750434637069702,1
44,spaced,incongruent,0.736438274383545,1
45,spaced,congruent,1.08924698829651,1
46,unspaced,neutral,1.58764314651489,1
47,spaced,congruent,0.686173677444458,1
48,unspaced,congruent,1.77646279335022,1
49,unspaced,neutral,0.958243131637573,1
50,unspaced,incongruent,1.13740801811218,1
51,spaced,congruent,1.38202857971191,1
52,unspaced,neutral,2.29478192329407,1
53,unspaced,congruent,0.836136817932129,1
54,unspaced,congruent,1.80773663520813,1
55,spaced,congruent,1.09190368652344,1
56,unspaced,incongruent,0.845597505569458,1
57,spaced,neutral,0.842123508453369,1
58,spaced,incongruent,1.33275270462036,1
59,spaced,neutral,0.769215822219849,1
60,spaced,incongruent,0.996496200561523,1
1,spaced,incongruent,0.91341233253479,1
2,spaced,neutral,0.610958099365234,1
3,unspaced,congruent,0.679541826248169,1
4,unspaced,neutral,0.621184587478638,1
5,unspaced,congruent,0.566660404205322,1
6,spaced,congruent,0.545784950256348,1
7,unspaced,incongruent,1.24269890785217,1
8,unspaced,incongruent,0.98119854927063,1
9,spaced,incongruent,3.70238351821899,1
10,spaced,congruent,0.63412618637085,1
11,spaced,neutral,0.535449266433716,1
12,unspaced,neutral,0.440112590789795,1
13,spaced,neutral,0.466248750686646,1
14,spaced,neutral,0.472180604934692,1
15,unspaced,congruent,0.459383249282837,1
16,spaced,incongruent,0.685848951339722,1
17,unspaced,neutral,0.642717599868774,1
18,unspaced,neutral,0.547412633895874,1
19,spaced,incongruent,0.551898241043091,1
20,spaced,congruent,0.377438306808472,1
21,unspaced,incongruent,0.306228160858154,1
22,unspaced,congruent,0.356858730316162,1
23,unspaced,incongruent,0.63526463508606,1
24,spaced,congruent,0.423204183578491,1
25,spaced,congruent,0.445763826370239,1
26,unspaced,congruent,0.500090360641479,1
27,unspaced,congruent,0.502821207046509,1
28,spaced,neutral,0.468746662139893,1
29,unspaced,incongruent,0.551302194595337,1
30,spaced,neutral,0.588903903961182,1
31,spaced,congruent,0.807386159896851,1
32,unspaced,neutral,1.05102729797363,1
33,spaced,incongruent,0.563815116882324,1
34,unspaced,neutral,0.916703701019287,1
35,unspaced,incongruent,1.1107029914856,1
36,spaced,incongruent,1.27899050712585,1
37,spaced,incongruent,0.529311180114746,1
38,unspaced,congruent,0.51753044128418,1
39,unspaced,incongruent,0.805813789367676,1
40,unspaced,neutral,0.98929500579834,1
41,spaced,neutral,1.45348334312439,1
42,spaced,congruent,0.434326171875,1
43,unspaced,incongruent,0.934608459472656,1
44,spaced,neutral,0.814995050430298,1
45,spaced,incongruent,0.56252121925354,1
46,unspaced,neutral,0.762776374816895,1
47,spaced,congruent,0.834936857223511,1
48,unspaced,congruent,1.63545250892639,1
49,spaced,neutral,1.71734857559204,1
50,spaced,neutral,1.40021538734436,1
51,spaced,congruent,0.714014053344727,1
52,unspaced,congruent,1.97048687934875,1
53,unspaced,incongruent,1.802490234375,1
54,spaced,congruent,0.457953453063965,1
55,unspaced,incongruent,0.706774234771729,1
56,unspaced,neutral,0.761978387832642,1
57,spaced,incongruent,0.52155590057373,1
58,unspaced,congruent,0.515663385391235,1
59,spaced,incongruent,0.522171974182129,1
60,unspaced,neutral,0.638806343078613,1
1,unspaced,neutral,3.36459589004517,1
2,unspaced,congruent,0.550483465194702,1
3,unspaced,neutral,0.517197370529175,1
4,spaced,congruent,0.416440725326538,1
5,spaced,congruent,0.597503185272217,1
6,unspaced,incongruent,0.535905599594116,1
7,spaced,incongruent,0.526577949523926,0
8,unspaced,incongruent,0.731188535690308,1
9,spaced,neutral,0.843191385269165,1
10,spaced,incongruent,0.598124980926514,1
11,spaced,neutral,0.612688779830933,1
12,unspaced,congruent,0.758454322814941,1
13,spaced,neutral,0.818671464920044,1
14,unspaced,neutral,0.896087646484375,1
