Trial,Spacing,Congruent,RT,Accuracy
1,spaced,incongruent,1.70490956306458,1
2,unspaced,congruent,0.949602603912354,1
3,unspaced,congruent,0.852241992950439,1
4,unspaced,incongruent,1.61243033409119,1
5,spaced,neutral,0.801597118377686,1
6,unspaced,incongruent,0.785709381103516,1
7,unspaced,neutral,0.750499486923218,1
8,spaced,neutral,0.807864427566528,1
9,unspaced,neutral,0.924912452697754,1
10,spaced,congruent,0.799139261245728,1
11,spaced,congruent,0.62572717666626,1
12,spaced,incongruent,0.989312410354614,1
13,spaced,congruent,0.728199481964111,1
14,spaced,incongruent,0.853250026702881,1
15,unspaced,incongruent,0.985670566558838,1
16,unspaced,congruent,0.707569360733032,1
17,spaced,neutral,0.619575023651123,1
18,spaced,neutral,0.661144018173218,1
19,unspaced,congruent,0.622357368469238,1
20,spaced,incongruent,1.76672840118408,1
21,unspaced,incongruent,1.22231507301331,1
22,unspaced,neutral,0.741955041885376,1
23,spaced,congruent,0.607635498046875,1
24,unspaced,neutral,0.726074695587158,1
25,unspaced,incongruent,0.829721689224243,1
26,spaced,neutral,0.6968092918396,1
27,spaced,congruent,0.772195100784302,1
28,unspaced,incongruent,1.15901803970337,1
29,spaced,incongruent,0.807746887207031,1
30,spaced,incongruent,0.735217332839966,1
31,unspaced,neutral,0.863471031188965,1
32,spaced,congruent,0.885319709777832,1
33,unspaced,congruent,0.737234592437744,1
34,unspaced,neutral,0.745668888092041,1
35,unspaced,congruent,0.943407773971558,1
36,spaced,neutral,0.866274118423462,1
37,spaced,neutral,0.704559564590454,1
38,unspaced,neutral,0.833394527435303,1
39,unspaced,congruent,0.783606052398682,1
40,spaced,neutral,0.619719982147217,1
41,spaced,congruent,0.706624031066895,1
42,unspaced,congruent,0.589950799942017,1
43,spaced,congruent,0.628164052963257,1
44,unspaced,incongruent,0.883461952209473,1
45,spaced,incongruent,0.733400106430054,1
46,spaced,incongruent,0.823549032211304,1
47,unspaced,neutral,0.568687438964844,1
48,unspaced,incongruent,0.555773496627808,1
49,unspaced,neutral,0.830221176147461,1
50,unspaced,congruent,0.902416229248047,1
51,unspaced,incongruent,0.878545045852661,1
52,spaced,neutral,0.660358905792236,1
53,spaced,incongruent,0.809522151947021,1
54,spaced,neutral,0.702098608016968,1
55,unspaced,congruent,0.685732126235962,1
56,unspaced,incongruent,1.09882760047913,1
57,unspaced,neutral,1.2067859172821,1
58,spaced,congruent,0.682809114456177,1
59,spaced,incongruent,0.690577983856201,1
60,spaced,congruent,0.794548273086548,1
1,spaced,neutral,4.66056561470032,1
2,unspaced,congruent,0.546112775802612,1
3,unspaced,congruent,0.578761577606201,1
4,unspaced,incongruent,0.854060173034668,1
5,spaced,neutral,0.741643190383911,1
6,spaced,congruent,1.8867175579071,1
7,spaced,congruent,1.39274048805237,1
8,unspaced,neutral,1.47261214256287,1
9,unspaced,neutral,0.954273223876953,1
10,unspaced,incongruent,1.35891675949097,1
11,spaced,incongruent,0.740968942642212,1
12,spaced,incongruent,0.901219606399536,1
13,unspaced,incongruent,0.744209289550781,1
14,spaced,neutral,0.718883752822876,1
15,spaced,congruent,0.624431371688843,1
16,spaced,congruent,0.449159383773804,1
17,unspaced,congruent,0.485485315322876,1
18,spaced,neutral,0.86642861366272,1
19,unspaced,neutral,0.637819766998291,1
20,unspaced,congruent,1.81165909767151,1
21,spaced,incongruent,0.665861845016479,1
22,unspaced,incongruent,0.798901796340942,1
23,spaced,incongruent,0.410950422286987,0
24,unspaced,neutral,1.07338428497314,1
25,spaced,congruent,0.798184633255005,1
26,spaced,neutral,0.873629331588745,1
27,spaced,neutral,0.550287485122681,1
28,unspaced,congruent,0.622670412063599,1
29,spaced,incongruent,0.871748685836792,1
30,unspaced,incongruent,0.94642162322998,1
31,unspaced,incongruent,0.845939159393311,1
32,spaced,incongruent,0.697052955627441,1
33,unspaced,neutral,0.900248289108276,1
34,spaced,congruent,0.79606032371521,1
35,unspaced,neutral,0.830421924591064,1
36,unspaced,congruent,0.929968595504761,1
37,unspaced,congruent,0.861984968185425,1
38,spaced,incongruent,0.928331613540649,1
39,spaced,neutral,0.968558073043823,1
40,unspaced,incongruent,1.241366147995,1
41,spaced,congruent,0.839866638183594,1
42,unspaced,congruent,0.972637176513672,1
43,unspaced,incongruent,1.70873236656189,1
44,unspaced,neutral,1.29476547241211,1
45,spaced,incongruent,1.08342838287354,1
46,spaced,congruent,0.93030858039856,1
47,spaced,neutral,1.08666849136353,1
48,unspaced,neutral,1.14201331138611,1
49,spaced,incongruent,1.06502532958984,1
50,unspaced,incongruent,1.03489661216736,1
51,unspaced,congruent,1.09286308288574,1
52,unspaced,congruent,1.00024747848511,1
53,spaced,neutral,1.10826683044434,1
54,spaced,congruent,1.06352663040161,1
55,unspaced,neutral,0.868314027786255,1
56,unspaced,incongruent,0.991442441940308,1
57,spaced,incongruent,0.94016170501709,1
58,spaced,neutral,0.984535217285156,1
59,unspaced,neutral,0.880576610565186,1
60,spaced,congruent,1.386234998703,1
1,spaced,incongruent,1.41207146644592,1
2,spaced,neutral,0.721624374389648,1
3,unspaced,congruent,0.848557472229004,1
4,unspaced,incongruent,1.4873480796814,1
5,unspaced,incongruent,0.823476076126099,1
6,unspaced,neutral,0.687207698822021,1
7,unspaced,congruent,0.625807762145996,1
8,unspaced,neutral,0.834142208099365,1
9,spaced,neutral,0.540239334106445,1
10,spaced,congruent,0.799723386764526,1
11,spaced,incongruent,0.524558782577515,1
12,spaced,congruent,0.692822217941284,1
13,unspaced,incongruent,1.24300909042358,1
14,unspaced,incongruent,0.878203392028809,1
15,spaced,incongruent,0.75607967376709,0
16,spaced,congruent,0.931879281997681,1
17,unspaced,neutral,0.725117206573486,1
18,spaced,incongruent,0.741143941879272,1
19,spaced,neutral,0.744336128234863,1
20,unspaced,neutral,0.858397722244263,1
21,spaced,congruent,0.86129355430603,1
22,unspaced,congruent,0.959748029708862,1
23,unspaced,congruent,1.09069156646729,1
24,spaced,neutral,1.1066517829895,1
25,spaced,neutral,0.888240098953247,1
26,unspaced,congruent,0.867981433868408,1
27,unspaced,congruent,0.783553123474121,1
28,spaced,congruent,0.719412326812744,1
29,spaced,congruent,0.641858577728271,1
30,spaced,neutral,0.797834873199463,1
31,spaced,incongruent,0.745973348617554,1
32,unspaced,incongruent,0.971902132034302,1
33,unspaced,incongruent,1.14313578605652,1
34,unspaced,neutral,0.946302890777588,1
35,spaced,incongruent,0.923331260681152,1
36,unspaced,neutral,1.05920124053955,1
37,spaced,congruent,0.782603025436401,1
38,unspaced,neutral,0.81770133972168,1
39,unspaced,neutral,1.38667154312134,1
40,spaced,neutral,0.91070556640625,1
41,unspaced,congruent,0.850433588027954,1
42,spaced,neutral,1.01579737663269,1
43,unspaced,incongruent,0.963575124740601,1
44,unspaced,congruent,0.783259868621826,1
45,unspaced,incongruent,0.844643592834473,1
46,spaced,incongruent,0.713811874389648,1
47,spaced,incongruent,0.733182907104492,1
48,spaced,congruent,0.850746631622314,1
49,unspaced,congruent,0.790297031402588,1
50,spaced,congruent,0.953177928924561,1
51,unspaced,incongruent,0.894400596618652,1
52,spaced,neutral,0.954470157623291,1
53,spaced,congruent,0.924875497817993,1
54,unspaced,incongruent,0.950547695159912,1
55,unspaced,neutral,0.990275621414185,1
56,unspaced,congruent,0.834909439086914,1
57,spaced,incongruent,0.811280250549316,1
58,unspaced,neutral,0.776229619979858,1
59,spaced,incongruent,0.862023115158081,1
60,spaced,neutral,0.751463174819946,1
1,spaced,neutral,1.01043605804443,1
2,spaced,congruent,0.734484434127808,1
3,unspaced,neutral,0.884743213653564,1
4,spaced,congruent,0.942147731781006,1
5,unspaced,incongruent,1.29562997817993,1
6,spaced,incongruent,0.746952533721924,1
7,spaced,neutral,0.928546905517578,1
8,spaced,incongruent,0.764889717102051,0
9,unspaced,congruent,1.59541964530945,1
10,unspaced,congruent,0.852102041244507,1
11,unspaced,incongruent,0.919908285140991,1
12,unspaced,neutral,0.960045099258423,1
13,spaced,congruent,1.02443838119507,1
14,spaced,incongruent,1.06420731544495,1
15,spaced,neutral,0.846266984939575,1
16,spaced,incongruent,2.12912893295288,1
17,unspaced,neutral,0.866007328033447,1
18,spaced,neutral,0.939088344573975,1
19,unspaced,congruent,1.2054591178894,1
20,unspaced,neutral,0.97295618057251,1
21,unspaced,incongruent,0.827523231506348,1
22,spaced,congruent,0.867753982543945,1
23,unspaced,incongruent,1.09336400032043,1
24,unspaced,congruent,1.51447796821594,1
25,unspaced,incongruent,0.902044773101807,1
26,spaced,incongruent,0.920498609542847,1
27,spaced,congruent,0.68666934967041,1
28,unspaced,neutral,1.04985928535461,1
29,spaced,congruent,0.83364200592041,1
30,unspaced,congruent,0.844010829925537,1
