Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,neutral,1.01923179626465,1
2,spaced,congruent,0.611698627471924,1
3,unspaced,incongruent,0.744879484176636,1
4,spaced,incongruent,0.771313428878784,1
5,unspaced,congruent,0.626951694488525,1
6,spaced,congruent,0.622883319854736,1
7,spaced,neutral,0.623811483383179,1
8,unspaced,neutral,0.659669876098633,1
9,spaced,neutral,0.518775701522827,1
10,unspaced,incongruent,0.82103967666626,1
11,unspaced,congruent,0.726766586303711,1
12,spaced,incongruent,0.751865386962891,1
13,unspaced,neutral,0.500708818435669,1
14,spaced,congruent,0.485757827758789,1
15,unspaced,neutral,0.567682981491089,1
16,unspaced,incongruent,0.806352138519287,1
17,spaced,neutral,0.828251838684082,1
18,spaced,neutral,0.675627708435059,1
19,unspaced,congruent,0.662082433700562,1
20,unspaced,incongruent,0.65173077583313,1
21,spaced,incongruent,0.737932205200195,1
22,spaced,incongruent,0.89744758605957,1
23,spaced,congruent,0.676669597625732,1
24,unspaced,congruent,0.597773313522339,1
25,unspaced,neutral,0.838159799575806,1
26,spaced,incongruent,0.795679807662964,1
27,unspaced,congruent,0.621114492416382,1
28,unspaced,incongruent,0.888191699981689,1
29,spaced,neutral,0.7757408618927,1
30,spaced,neutral,0.766737937927246,1
31,unspaced,neutral,0.781782865524292,1
32,unspaced,incongruent,1.79911088943481,0
33,unspaced,congruent,0.740216493606567,1
34,spaced,incongruent,0.779179573059082,1
35,spaced,congruent,0.539737701416016,1
36,spaced,congruent,0.586014032363892,1
37,spaced,incongruent,0.643337249755859,1
38,unspaced,incongruent,0.850124359130859,1
39,spaced,incongruent,0.803415775299072,1
40,spaced,congruent,0.577674388885498,1
41,spaced,neutral,0.706091403961182,1
42,unspaced,neutral,0.7132728099823,1
43,spaced,congruent,0.539269208908081,1
44,unspaced,congruent,0.563753366470337,1
45,unspaced,neutral,0.712260246276855,1
46,spaced,neutral,0.666372299194336,1
47,unspaced,incongruent,0.990297079086304,1
48,unspaced,congruent,0.743922233581543,1
49,unspaced,congruent,1.56013941764832,1
50,spaced,incongruent,1.90610527992249,1
51,unspaced,congruent,0.867406368255615,1
52,spaced,incongruent,1.03168749809265,1
53,unspaced,neutral,0.790404558181763,1
54,spaced,congruent,1.24970197677612,1
55,spaced,congruent,0.862972974777222,1
56,unspaced,incongruent,2.15824818611145,1
57,spaced,neutral,1.69242119789124,1
58,unspaced,neutral,0.693329334259033,1
59,spaced,neutral,0.642744779586792,1
60,unspaced,incongruent,0.664586067199707,1
1,unspaced,congruent,1.82691240310669,1
2,spaced,incongruent,0.664857864379883,1
3,spaced,incongruent,0.69506573677063,1
4,spaced,neutral,0.45544171333313,1
5,unspaced,neutral,0.486671686172485,1
6,spaced,congruent,0.890909433364868,1
7,spaced,congruent,0.601006507873535,1
8,spaced,neutral,0.340843915939331,0
9,unspaced,congruent,0.533206462860107,1
10,unspaced,neutral,0.556507587432861,1
11,unspaced,incongruent,0.932353973388672,1
12,unspaced,incongruent,0.832553148269653,1
13,spaced,congruent,0.559462785720825,1
14,spaced,incongruent,0.619588851928711,1
15,unspaced,neutral,0.621699333190918,1
16,unspaced,congruent,0.504583835601807,1
17,spaced,incongruent,0.700714111328125,0
18,spaced,neutral,0.707902193069458,1
19,unspaced,neutral,0.649788856506348,1
20,unspaced,incongruent,0.790137529373169,1
21,unspaced,congruent,2.17275190353394,1
22,spaced,neutral,1.10233545303345,1
23,unspaced,incongruent,1.25439858436584,1
24,spaced,congruent,0.897831678390503,1
25,unspaced,congruent,0.544357061386108,0
