Trial,Spacing,Congruent,RT,Accuracy
1,unspaced,neutral,0.613635778427124,1
2,unspaced,congruent,0.515107870101929,1
3,spaced,neutral,0.55065655708313,1
4,unspaced,neutral,0.415220499038696,1
5,unspaced,incongruent,0.700363636016846,1
6,spaced,congruent,0.46662974357605,1
7,unspaced,incongruent,0.422027349472046,0
8,spaced,congruent,0.503976106643677,1
9,spaced,incongruent,0.426925897598267,0
10,spaced,incongruent,0.609767198562622,1
11,spaced,neutral,0.421474695205688,1
12,unspaced,congruent,0.512885570526123,1
13,unspaced,neutral,0.427030324935913,1
14,spaced,neutral,0.459564208984375,1
15,spaced,neutral,0.426877498626709,1
16,spaced,incongruent,0.589576005935669,1
17,spaced,incongruent,0.477364063262939,1
18,unspaced,congruent,0.449380397796631,1
19,unspaced,congruent,0.464657068252563,1
20,unspaced,incongruent,0.684931755065918,1
21,unspaced,neutral,0.495073556900024,1
22,unspaced,incongruent,0.410179615020752,0
23,spaced,congruent,0.561161756515503,1
24,spaced,congruent,0.467400312423706,1
25,unspaced,congruent,0.544465780258179,1
26,spaced,congruent,0.481702089309692,1
27,spaced,incongruent,0.669677495956421,1
28,unspaced,neutral,0.489864110946655,1
29,spaced,neutral,0.495515823364258,1
30,spaced,congruent,0.627553224563599,1
31,unspaced,neutral,0.581092596054077,1
32,spaced,incongruent,0.632530689239502,1
33,unspaced,congruent,0.608287811279297,1
34,spaced,neutral,0.590336084365845,1
35,unspaced,incongruent,0.634307146072388,1
36,unspaced,incongruent,0.567209243774414,1
37,unspaced,congruent,0.480031728744507,1
38,unspaced,incongruent,0.567667007446289,1
39,spaced,congruent,0.538871288299561,1
40,spaced,neutral,0.43243408203125,1
41,spaced,congruent,0.530416488647461,1
42,unspaced,neutral,0.749625205993652,1
43,unspaced,neutral,0.704692840576172,0
44,spaced,incongruent,1.59454417228699,1
45,unspaced,incongruent,0.520397186279297,1
46,spaced,neutral,0.579716205596924,0
47,unspaced,congruent,1.50681114196777,1
48,spaced,incongruent,0.565326452255249,1
49,unspaced,incongruent,0.61014461517334,1
50,spaced,neutral,0.488327264785767,1
51,unspaced,neutral,0.726907968521118,1
52,spaced,incongruent,0.509407043457031,1
53,unspaced,incongruent,0.592662572860718,1
54,spaced,congruent,0.553122282028198,1
55,unspaced,congruent,0.569812059402466,1
56,unspaced,neutral,0.848856210708618,1
57,unspaced,congruent,0.579205989837646,1
58,spaced,congruent,0.454443693161011,1
59,spaced,incongruent,0.404359102249146,0
60,spaced,neutral,0.616029024124146,0
1,spaced,incongruent,0.7287437915802,1
2,unspaced,congruent,0.42999005317688,1
3,spaced,congruent,0.40751576423645,1
4,unspaced,incongruent,0.587007761001587,1
5,unspaced,neutral,0.869282960891724,1
6,unspaced,incongruent,0.662498474121094,1
7,unspaced,congruent,0.980539798736572,1
8,spaced,neutral,0.388264417648315,1
9,spaced,incongruent,0.524127960205078,1
10,unspaced,neutral,0.579627990722656,1
