Trial,Spacing,Congruent,RT,Accuracy
1,spaced,congruent,1.23461532592773,1
2,unspaced,congruent,0.788476467132568,1
3,unspaced,congruent,0.788118839263916,1
4,unspaced,neutral,1.00701808929443,1
5,spaced,congruent,0.697045803070068,1
6,spaced,incongruent,1.18865466117859,1
7,unspaced,incongruent,2.99586129188538,1
8,unspaced,incongruent,4.91748404502869,1
9,spaced,incongruent,0.836830139160156,1
10,spaced,neutral,0.680606365203857,1
11,spaced,neutral,0.884402275085449,1
12,unspaced,neutral,0.792559146881104,1
13,spaced,neutral,0.570825576782227,1
14,unspaced,neutral,0.75372314453125,1
15,spaced,incongruent,1.43391633033752,1
16,spaced,incongruent,0.886608123779297,1
17,unspaced,congruent,0.847572565078735,1
18,unspaced,congruent,0.622735977172852,1
19,unspaced,neutral,0.853644132614136,1
20,spaced,neutral,0.743186473846436,1
21,spaced,congruent,0.688885688781738,1
22,unspaced,incongruent,3.92473006248474,1
23,unspaced,incongruent,1.24418020248413,1
24,spaced,congruent,0.897931337356567,1
25,unspaced,neutral,1.49459195137024,1
26,spaced,congruent,0.879764795303345,1
27,unspaced,incongruent,3.20689010620117,1
28,unspaced,incongruent,2.91305327415466,1
29,spaced,congruent,0.732203960418701,1
30,spaced,incongruent,0.817135810852051,1
31,spaced,neutral,0.773302555084229,1
32,unspaced,congruent,0.944244861602783,1
33,unspaced,neutral,0.648204565048218,1
34,spaced,neutral,0.59715723991394,1
35,unspaced,congruent,0.673787832260132,1
36,spaced,incongruent,1.15663290023804,1
37,spaced,incongruent,2.59067916870117,1
38,unspaced,neutral,0.675256013870239,1
39,unspaced,congruent,0.707029581069946,1
40,spaced,congruent,0.58213472366333,1
41,spaced,congruent,0.633405685424805,1
42,spaced,incongruent,0.817327737808228,1
43,unspaced,congruent,0.853005647659302,1
44,spaced,neutral,0.644345760345459,1
45,unspaced,neutral,0.773980140686035,1
46,spaced,neutral,0.858357191085815,1
47,unspaced,incongruent,1.78029274940491,1
48,unspaced,incongruent,1.62921905517578,1
49,spaced,neutral,1.26244807243347,1
50,unspaced,incongruent,1.92720770835876,1
51,spaced,congruent,0.777538776397705,1
52,unspaced,congruent,0.607056617736816,1
53,spaced,congruent,0.78728175163269,1
54,spaced,incongruent,0.978698015213013,1
55,unspaced,neutral,1.17325282096863,1
56,spaced,neutral,0.745578050613403,1
57,unspaced,neutral,0.876336097717285,1
58,unspaced,incongruent,2.07044863700867,1
59,unspaced,congruent,0.82757568359375,1
60,spaced,incongruent,1.4887158870697,1
1,unspaced,incongruent,2.5960431098938,1
2,unspaced,neutral,0.836588859558105,1
3,spaced,neutral,1.00321817398071,1
4,unspaced,neutral,1.14378118515015,1
5,spaced,neutral,0.653606653213501,1
6,unspaced,congruent,0.833914279937744,1
7,spaced,incongruent,0.959456920623779,1
8,spaced,incongruent,0.76244044303894,1
9,spaced,congruent,0.847790718078613,1
10,unspaced,congruent,0.885694026947021,1
11,unspaced,incongruent,1.26824188232422,1
12,spaced,congruent,0.903769493103027,1
13,spaced,neutral,0.705075263977051,1
14,spaced,incongruent,1.22815346717834,1
15,unspaced,congruent,1.14780902862549,1
16,spaced,congruent,1.02507090568542,1
17,spaced,neutral,0.943491220474243,1
18,unspaced,incongruent,1.1919641494751,1
19,unspaced,neutral,1.0635027885437,1
20,spaced,congruent,0.646615743637085,1
21,spaced,incongruent,1.01864266395569,1
22,unspaced,congruent,0.695495843887329,1
23,unspaced,incongruent,0.984475374221802,1
24,unspaced,neutral,1.50539112091064,1
25,unspaced,neutral,0.683647155761719,1
26,spaced,incongruent,1.2411801815033,1
27,spaced,neutral,0.684784173965454,1
28,unspaced,incongruent,0.893734455108643,1
29,unspaced,incongruent,0.752014636993408,1
30,spaced,congruent,0.787031888961792,1
31,unspaced,neutral,3.3387656211853,1
32,unspaced,congruent,1.13352799415588,1
33,spaced,neutral,0.660503625869751,1
34,spaced,incongruent,0.692486047744751,1
35,spaced,congruent,0.694867849349976,1
36,unspaced,congruent,0.641046524047852,1
37,spaced,congruent,0.700450658798218,1
38,spaced,neutral,0.670464515686035,1
39,spaced,congruent,0.715356111526489,1
40,unspaced,congruent,0.663344383239746,1
41,spaced,neutral,0.665369033813477,1
42,spaced,incongruent,1.93670892715454,1
43,unspaced,neutral,0.91269588470459,1
44,unspaced,incongruent,0.759948492050171,1
45,unspaced,congruent,0.586341381072998,1
46,spaced,incongruent,1.03868699073792,1
47,unspaced,neutral,0.717560529708862,1
48,unspaced,incongruent,1.75927972793579,1
49,spaced,neutral,0.654658317565918,1
50,spaced,incongruent,0.828548908233643,1
51,spaced,congruent,0.835809707641602,1
52,unspaced,neutral,0.888105154037476,1
53,spaced,congruent,0.875102281570435,1
54,unspaced,neutral,0.858916044235229,1
55,unspaced,incongruent,3.92508840560913,1
56,unspaced,congruent,0.956286430358887,1
57,spaced,neutral,5.43342113494873,1
58,unspaced,congruent,0.705361366271973,1
59,unspaced,incongruent,1.15277647972107,1
60,spaced,incongruent,1.354731798172,1
1,spaced,incongruent,1.98725652694702,1
2,unspaced,neutral,0.725497961044312,1
3,unspaced,neutral,0.564969301223755,1
4,spaced,incongruent,0.935219764709473,1
5,unspaced,congruent,0.661265850067139,1
6,spaced,neutral,0.548179864883423,1
7,unspaced,congruent,0.515275478363037,1
8,spaced,congruent,0.511065244674683,1
9,spaced,congruent,0.402566432952881,1
10,unspaced,incongruent,1.34885287284851,1
11,unspaced,incongruent,2.16561412811279,1
12,spaced,neutral,0.583898067474365,1
13,unspaced,congruent,0.533604860305786,1
14,unspaced,neutral,0.567554235458374,1
15,unspaced,incongruent,0.898886680603027,1
16,spaced,neutral,0.841458320617676,1
17,spaced,congruent,0.735553979873657,1
18,spaced,congruent,0.561048269271851,1
19,spaced,incongruent,0.497913837432861,1
20,spaced,incongruent,0.717460632324219,1
21,unspaced,incongruent,0.737420082092285,1
22,spaced,neutral,0.504626274108887,1
23,unspaced,neutral,0.467767000198364,1
24,unspaced,congruent,0.487762928009033,1
25,unspaced,incongruent,0.410145044326782,0
26,spaced,congruent,1.01132035255432,1
27,spaced,incongruent,0.549989461898804,1
28,spaced,congruent,0.672213077545166,1
29,unspaced,neutral,0.805392980575562,1
30,unspaced,congruent,0.690503835678101,1
31,unspaced,neutral,0.591316699981689,1
32,spaced,incongruent,0.519116878509521,1
33,unspaced,incongruent,1.34367108345032,1
34,spaced,neutral,0.538103342056274,1
35,unspaced,congruent,0.659578561782837,1
36,spaced,neutral,0.535475492477417,1
37,unspaced,incongruent,1.00650405883789,1
38,unspaced,incongruent,1.77978587150574,1
39,spaced,incongruent,0.687814474105835,1
40,unspaced,neutral,0.665018796920776,1
41,spaced,neutral,1.15017104148865,1
42,unspaced,neutral,0.896914720535278,1
43,spaced,congruent,0.89959454536438,1
