Trial,Spacing,Congruent,RT,Accuracy
1,spaced,incongruent,1.67166829109192,1
2,spaced,neutral,1.40535283088684,1
3,unspaced,incongruent,0.643365144729614,1
4,unspaced,congruent,0.462247133255005,1
5,unspaced,incongruent,0.674722194671631,1
6,spaced,congruent,0.457973003387451,1
7,unspaced,neutral,0.486269474029541,1
8,spaced,neutral,0.462293148040771,1
9,unspaced,neutral,0.386663675308228,1
10,spaced,incongruent,0.386592626571655,1
11,spaced,congruent,0.78640604019165,1
12,unspaced,congruent,0.634367704391479,1
13,spaced,neutral,0.471909523010254,1
14,unspaced,incongruent,0.665823221206665,1
15,spaced,neutral,0.552658319473267,1
16,unspaced,neutral,0.486528158187866,1
17,spaced,congruent,0.434628248214722,1
18,unspaced,incongruent,0.505791664123535,0
19,spaced,incongruent,0.625952243804932,1
20,spaced,incongruent,0.633474588394165,1
21,spaced,congruent,0.459400653839111,1
22,unspaced,congruent,0.456674337387085,1
23,unspaced,neutral,0.605606079101562,1
24,unspaced,congruent,0.614720582962036,1
25,spaced,congruent,0.548163175582886,1
26,unspaced,neutral,0.549213171005249,1
27,spaced,neutral,0.581229209899902,1
28,spaced,incongruent,0.680730581283569,1
29,unspaced,neutral,0.736822605133057,1
30,unspaced,incongruent,0.386603355407715,0
31,spaced,neutral,0.642183542251587,1
32,unspaced,congruent,0.412718057632446,1
33,spaced,congruent,0.442766427993774,1
34,unspaced,congruent,0.442890167236328,1
35,spaced,incongruent,0.495752096176147,1
36,unspaced,incongruent,0.408321857452393,1
37,unspaced,congruent,0.439902782440186,1
38,unspaced,incongruent,0.531764030456543,0
39,spaced,incongruent,0.471092700958252,1
40,spaced,incongruent,0.466053009033203,0
41,unspaced,incongruent,0.579953193664551,1
42,spaced,congruent,0.42878246307373,0
43,spaced,neutral,0.573325634002686,1
44,unspaced,neutral,0.460637092590332,1
45,spaced,neutral,0.528541088104248,1
46,spaced,congruent,0.497468709945679,1
47,unspaced,congruent,0.522180795669556,1
48,unspaced,neutral,0.685246467590332,1
49,spaced,neutral,0.434776067733765,1
50,unspaced,incongruent,0.671992301940918,1
51,unspaced,neutral,0.609066724777222,1
52,unspaced,congruent,0.512919664382935,1
53,unspaced,congruent,0.774249315261841,1
54,unspaced,neutral,0.771454095840454,1
55,unspaced,incongruent,0.875547647476196,1
56,spaced,congruent,0.662170648574829,1
57,spaced,congruent,0.644655466079712,1
58,spaced,incongruent,0.820265054702759,1
59,spaced,incongruent,0.597687005996704,1
60,spaced,neutral,0.638501405715942,1
1,unspaced,congruent,0.823627233505249,1
2,unspaced,neutral,0.444108724594116,1
3,unspaced,incongruent,0.659817934036255,1
4,unspaced,incongruent,0.677385091781616,1
5,spaced,incongruent,0.649338483810425,1
6,unspaced,congruent,0.560294389724731,1
7,spaced,incongruent,0.62387490272522,1
8,spaced,congruent,0.688477516174316,0
9,unspaced,neutral,0.747209072113037,1
10,spaced,neutral,0.544793605804443,1
11,spaced,congruent,0.636730432510376,1
12,spaced,neutral,0.53453254699707,1
13,spaced,congruent,0.451095819473267,1
14,spaced,congruent,0.526146173477173,1
15,unspaced,congruent,0.462886810302734,1
16,spaced,neutral,0.858883857727051,1
17,unspaced,neutral,0.874303102493286,1
18,spaced,neutral,0.637079954147339,0
19,unspaced,congruent,0.731608152389526,1
20,spaced,incongruent,0.620567560195923,1
21,spaced,incongruent,0.460574150085449,1
22,unspaced,incongruent,0.571897745132446,1
23,unspaced,neutral,0.557898998260498,1
24,unspaced,incongruent,0.693460702896118,1
25,spaced,incongruent,1.10708808898926,1
26,unspaced,neutral,0.502528190612793,1
27,unspaced,neutral,0.480570077896118,0
28,spaced,neutral,0.456070423126221,1
29,spaced,congruent,0.591575860977173,1
30,spaced,congruent,0.726734161376953,0
31,unspaced,incongruent,0.613965511322021,1
32,unspaced,congruent,0.940959215164185,1
33,unspaced,incongruent,0.472850561141968,0
34,spaced,neutral,0.595894575119019,1
35,spaced,incongruent,0.626430988311768,1
36,unspaced,congruent,0.558216094970703,1
37,spaced,neutral,0.67167592048645,1
38,unspaced,incongruent,0.467903614044189,0
39,spaced,congruent,0.678350925445557,1
40,spaced,congruent,0.484944105148315,1
41,unspaced,neutral,0.462255954742432,1
42,spaced,incongruent,0.641010522842407,1
43,unspaced,congruent,0.5921630859375,1
44,unspaced,neutral,0.512469530105591,0
45,spaced,neutral,0.746979236602783,1
46,unspaced,incongruent,0.563156366348267,1
47,spaced,incongruent,0.45799446105957,1
48,unspaced,congruent,0.536352634429932,1
49,spaced,incongruent,1.42345261573792,1
50,spaced,neutral,0.507532596588135,1
51,unspaced,congruent,0.477723121643066,1
52,unspaced,incongruent,0.666555404663086,1
53,spaced,congruent,0.470501899719238,1
54,unspaced,congruent,0.582187175750732,1
55,unspaced,incongruent,0.75726842880249,1
56,unspaced,neutral,0.702408075332642,1
57,spaced,incongruent,0.621260166168213,1
58,unspaced,neutral,0.542699098587036,1
59,spaced,congruent,0.630641937255859,1
60,spaced,neutral,0.429534435272217,1
1,spaced,neutral,0.856677532196045,1
2,unspaced,neutral,0.627049922943115,1
3,spaced,congruent,0.634543657302856,1
4,spaced,incongruent,0.55103588104248,1
5,spaced,congruent,0.625247240066528,1
6,spaced,neutral,0.670489549636841,1
7,unspaced,congruent,0.817367076873779,1
8,spaced,incongruent,0.566900730133057,1
9,unspaced,congruent,0.744376182556152,1
10,unspaced,incongruent,0.712399482727051,1
11,unspaced,incongruent,0.900285005569458,1
12,unspaced,neutral,0.5579514503479,1
13,unspaced,incongruent,0.550444841384888,0
14,spaced,neutral,0.512697696685791,1
15,unspaced,congruent,0.482395887374878,1
16,spaced,congruent,0.402336120605469,1
17,spaced,incongruent,0.613547086715698,1
18,spaced,neutral,0.48072075843811,1
19,unspaced,congruent,0.399627447128296,1
20,unspaced,neutral,0.491281270980835,1
21,unspaced,incongruent,0.304844856262207,0
22,spaced,congruent,0.559695959091187,1
23,spaced,incongruent,0.484187841415405,0
24,unspaced,neutral,0.368259429931641,0
25,unspaced,incongruent,0.685200691223145,1
26,spaced,congruent,0.815618515014648,1
27,unspaced,congruent,1.05531692504883,1
28,spaced,neutral,0.434855461120605,1
29,unspaced,incongruent,0.311615467071533,1
30,spaced,incongruent,0.592195749282837,1
31,unspaced,neutral,0.487410306930542,1
32,unspaced,congruent,0.510578870773315,1
33,spaced,incongruent,0.697238445281982,1
34,spaced,congruent,0.611087560653687,1
35,spaced,neutral,0.479334831237793,1
36,unspaced,neutral,0.438142776489258,0
37,spaced,incongruent,0.650389909744263,1
38,unspaced,congruent,0.478593349456787,1
39,spaced,neutral,0.508527755737305,1
40,unspaced,incongruent,0.691221952438354,1
41,unspaced,incongruent,0.617120504379272,1
42,spaced,congruent,0.500036239624023,1
43,spaced,congruent,0.583717107772827,1
44,unspaced,congruent,0.46662425994873,1
45,unspaced,neutral,0.628920316696167,1
46,unspaced,neutral,0.523559331893921,1
47,spaced,incongruent,0.652655839920044,1
48,spaced,neutral,0.656915426254272,1
49,spaced,incongruent,0.670160293579102,1
50,unspaced,neutral,0.666374444961548,1
51,unspaced,neutral,0.605792760848999,1
52,unspaced,congruent,0.495290994644165,1
53,spaced,incongruent,0.551195383071899,1
54,spaced,neutral,1.34291386604309,1
55,spaced,neutral,0.849690914154053,1
56,unspaced,incongruent,0.761219501495361,1
57,spaced,congruent,0.501394271850586,1
58,unspaced,incongruent,0.552817344665527,1
59,spaced,congruent,0.585222959518433,1
60,unspaced,congruent,0.544923305511475,1
1,spaced,incongruent,1.92817997932434,1
2,unspaced,congruent,0.318770408630371,1
3,unspaced,congruent,0.483091115951538,1
4,spaced,neutral,0.446646451950073,1
5,unspaced,neutral,0.442489385604858,1
6,unspaced,neutral,0.405017375946045,0
7,spaced,neutral,0.381203651428223,1
8,spaced,incongruent,0.645638942718506,1
9,spaced,congruent,0.497126340866089,1
10,unspaced,incongruent,0.596640586853027,1
11,unspaced,incongruent,0.436879634857178,0
12,spaced,congruent,0.628109931945801,0
13,spaced,neutral,0.466573476791382,1
14,unspaced,incongruent,0.325638294219971,0
15,spaced,congruent,0.620774507522583,1
16,spaced,incongruent,0.397634506225586,0
17,unspaced,congruent,0.361304521560669,1
18,unspaced,incongruent,0.332505702972412,0
19,spaced,incongruent,0.587246656417847,1
20,unspaced,neutral,0.514777660369873,1
21,spaced,congruent,0.420180320739746,1
22,unspaced,congruent,0.80253529548645,1
23,spaced,neutral,0.432235479354858,1
24,unspaced,neutral,1.27065181732178,1
25,spaced,congruent,1.10784077644348,0
26,unspaced,neutral,0.671936511993408,0
27,spaced,congruent,0.529488086700439,1
28,unspaced,incongruent,0.600377321243286,1
29,unspaced,congruent,0.491633176803589,1
30,unspaced,incongruent,0.678091764450073,1
31,spaced,neutral,1.16881012916565,1
32,spaced,neutral,0.627399206161499,1
33,spaced,incongruent,0.493766307830811,1
34,spaced,incongruent,0.603353977203369,1
35,unspaced,neutral,0.566773176193237,1
36,unspaced,congruent,0.54333758354187,1
37,unspaced,neutral,0.794734954833984,1
38,unspaced,congruent,1.46515941619873,1
